Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,3.800000,3.840000,3.800000,3.830000,3.815848,3080300
2019-10-25,3.860000,3.960000,3.840000,3.940000,3.925442,2666300
2019-10-28,3.940000,3.940000,3.910000,3.920000,3.905516,1336000
2019-10-29,3.900000,3.940000,3.890000,3.890000,3.875627,2054000
2019-10-30,3.860000,3.890000,3.850000,3.850000,3.835774,1226700
2019-10-31,3.930000,3.990000,3.910000,3.980000,3.965294,1668300
2019-11-01,4.000000,4.000000,3.940000,3.960000,3.945368,1122100
2019-11-04,3.920000,3.970000,3.910000,3.970000,3.955331,924200
2019-11-05,3.980000,3.980000,3.940000,3.960000,3.945368,550400
2019-11-06,3.920000,3.940000,3.890000,3.890000,3.875627,623800
2019-11-07,3.930000,3.970000,3.930000,3.970000,3.955331,1782200
2019-11-08,3.890000,3.930000,3.890000,3.930000,3.915479,947100
2019-11-11,3.910000,3.920000,3.890000,3.910000,3.895553,312900
2019-11-12,3.910000,3.940000,3.890000,3.940000,3.925442,1862300
2019-11-13,3.870000,3.890000,3.850000,3.860000,3.845737,1099800
2019-11-14,3.850000,3.890000,3.840000,3.860000,3.845737,2363000
2019-11-15,3.880000,3.910000,3.870000,3.870000,3.855700,619700
2019-11-18,3.830000,3.830000,3.760000,3.790000,3.775996,1197100
2019-11-19,3.820000,3.830000,3.770000,3.780000,3.766033,531400
2019-11-20,3.770000,3.810000,3.760000,3.770000,3.756070,578200
2019-11-21,3.730000,3.750000,3.650000,3.660000,3.646476,2828500
2019-11-22,3.650000,3.650000,3.610000,3.640000,3.626550,800300
2019-11-25,3.710000,3.710000,3.650000,3.680000,3.666402,645800
2019-11-26,3.630000,3.670000,3.620000,3.640000,3.626550,2368300
2019-11-27,3.680000,3.690000,3.650000,3.680000,3.666402,656800
2019-11-29,3.630000,3.640000,3.620000,3.630000,3.616587,531600
2019-12-02,3.600000,3.640000,3.600000,3.640000,3.626550,668500
2019-12-03,3.600000,3.630000,3.590000,3.610000,3.596661,1928000
2019-12-04,3.660000,3.680000,3.650000,3.680000,3.666402,571000
2019-12-05,3.700000,3.700000,3.660000,3.670000,3.656439,713000
2019-12-06,3.660000,3.670000,3.650000,3.650000,3.636513,694400
2019-12-09,3.650000,3.670000,3.630000,3.630000,3.616587,545100
2019-12-10,3.630000,3.680000,3.610000,3.670000,3.656439,616500
2019-12-11,3.680000,3.690000,3.650000,3.660000,3.646476,786600
2019-12-12,3.670000,3.700000,3.620000,3.680000,3.666402,2190200
2019-12-13,3.700000,3.740000,3.690000,3.710000,3.696291,1414400
2019-12-16,3.700000,3.760000,3.700000,3.760000,3.746107,1973000
2019-12-17,3.740000,3.800000,3.740000,3.800000,3.785959,2234300
2019-12-18,3.830000,3.840000,3.770000,3.780000,3.766033,2412600
2019-12-19,3.770000,3.800000,3.760000,3.790000,3.775996,1053900
2019-12-20,3.840000,3.890000,3.820000,3.860000,3.845737,3172900
2019-12-23,3.860000,3.880000,3.830000,3.830000,3.815848,527400
2019-12-24,3.840000,3.840000,3.810000,3.820000,3.805885,116300
2019-12-26,3.800000,3.820000,3.790000,3.800000,3.785959,647900
2019-12-27,3.760000,3.780000,3.750000,3.760000,3.746107,322600
2019-12-30,3.760000,3.780000,3.740000,3.750000,3.736144,376400
2019-12-31,3.720000,3.750000,3.720000,3.750000,3.736144,324100
2020-01-02,3.750000,3.780000,3.740000,3.760000,3.746107,524800
2020-01-03,3.780000,3.810000,3.750000,3.790000,3.775996,417900
2020-01-06,3.810000,3.850000,3.780000,3.850000,3.835774,727200
2020-01-07,3.870000,3.870000,3.840000,3.850000,3.835774,1034000
2020-01-08,3.870000,3.880000,3.850000,3.860000,3.845737,908700
2020-01-09,3.850000,3.870000,3.820000,3.850000,3.835774,890800
2020-01-10,3.850000,3.870000,3.840000,3.870000,3.855700,634100
2020-01-13,3.900000,3.940000,3.890000,3.920000,3.905516,631700
2020-01-14,3.870000,3.930000,3.770000,3.930000,3.915479,2246100
2020-01-15,3.780000,3.830000,3.750000,3.760000,3.746107,1279400
2020-01-16,3.780000,3.830000,3.780000,3.800000,3.785959,685700
2020-01-17,3.830000,3.850000,3.800000,3.830000,3.815848,807200
2020-01-21,3.780000,3.800000,3.770000,3.780000,3.766033,865600
2020-01-22,3.790000,3.790000,3.770000,3.790000,3.775996,468800
2020-01-23,3.800000,3.800000,3.750000,3.790000,3.775996,594100
2020-01-24,3.780000,3.800000,3.770000,3.800000,3.800000,507100
2020-01-27,3.720000,3.750000,3.700000,3.740000,3.740000,299000
2020-01-28,3.720000,3.770000,3.720000,3.760000,3.760000,663600
2020-01-29,3.740000,3.780000,3.740000,3.760000,3.760000,372100
2020-01-30,3.700000,3.700000,3.680000,3.700000,3.700000,565100
2020-01-31,3.610000,3.630000,3.600000,3.630000,3.630000,596900
2020-02-03,3.580000,3.650000,3.560000,3.630000,3.630000,813500
2020-02-04,3.650000,3.710000,3.650000,3.700000,3.700000,656200
2020-02-05,3.700000,3.740000,3.690000,3.740000,3.740000,664300
2020-02-06,3.690000,3.750000,3.680000,3.750000,3.750000,614100
2020-02-07,3.720000,3.760000,3.720000,3.740000,3.740000,492300
2020-02-10,3.720000,3.740000,3.700000,3.720000,3.720000,516900
2020-02-11,3.700000,3.780000,3.700000,3.750000,3.750000,1691600
2020-02-12,3.780000,3.820000,3.760000,3.810000,3.810000,862500
2020-02-13,3.790000,3.830000,3.760000,3.790000,3.790000,1226700
2020-02-14,3.780000,3.820000,3.780000,3.800000,3.800000,723400
2020-02-18,3.760000,3.810000,3.760000,3.800000,3.800000,421300
2020-02-19,3.800000,3.850000,3.800000,3.830000,3.830000,600500
2020-02-20,3.770000,3.830000,3.770000,3.820000,3.820000,858100
2020-02-21,3.850000,3.850000,3.800000,3.810000,3.810000,1269300
